HTID,Year,industry_3_percentile,progress_percentile
mdp.39015021046340,1840.0,0.9999621482149728,0.9998990619065944
mdp.39015020921998,1848.0,0.9995331613179992,0.9988013601408088
ien.35556037134509,1830.0,0.996441932207453,0.9987950515099708
umn.319510023761925,1822.0,0.9926252105505542,0.9972242024313464
mdp.39015015421459,1836.0,0.9941014301666108,0.9965807220858856
mdp.39015020112838,1850.0,0.9973566836789411,0.9961391179272364
wu.89097040273,1831.0,0.9959246244787494,0.9934611041365692
mdp.39015062316909,1840.0,0.9924107171020672,0.992965876615798
mdp.39015067103252,1837.0,0.998618409846511,0.9929501050387034
